nom,code_postal,population,latitude,longitude,altitude,id_ville
Colombier-Fontaine,25260,1215,47.45222,6.69194,310,94
Courcelles-lès-Montbéliard,25420,1387,47.5025,6.77667,310,95
Cussey-sur-l'Ognon,25870,1049,47.33917,5.93889,210,96
Dampierre-les-Bois,25490,1565,47.50778,6.91139,370,97
Damprichard,25450,1825,47.24583,6.88194,812,98
Dannemarie-sur-Crète,25410,1503,47.20667,5.86472,286,99
Dasle,25230,1370,47.47889,6.89611,390,100
Devecey,25870,1314,47.325,6.01667,230,101
Doubs,25300,3309,46.92805,6.35083,810,102
École-Valentin,25480,2620,47.27111,5.98111,317,103
Étalans,25580,1648,47.15028,6.26889,590,104
Étupes,25460,3711,47.50806,6.86417,340,105
Exincourt,25400,3273,47.50083,6.83861,333,106
Fesches-le-Châtel,25490,2147,47.52361,6.89778,340,107
les Fins,25500,3062,47.07833,6.62917,850,108
Fontain,25660,1200,47.19861,6.025,445,109
les Fourgs,25300,1429,46.835,6.40111,1080,110
Franois,25770,2250,47.23389,5.92444,294,111
Frasne,25560,1958,46.85556,6.15972,850,112
Geneuille,25870,1264,47.32361,5.97139,220,113
Gilley,25650,1805,47.04889,6.48,890,114
Grand'Combe-Châteleu,25570,1507,47.02722,6.56861,770,115
Grand-Charmont,25200,5865,47.52611,6.825,340,116
Grandfontaine,25320,1810,47.19861,5.90028,240,117
Granges-Narboz,25300,1355,46.87917,6.31,840,118
Hérimoncourt,25310,3530,47.44305,6.88167,361,119
Houtaud,25300,1197,46.91583,6.30917,810,120
l'Isle-sur-le-Doubs,25250,2812,47.44695,6.58583,296,121
Jougne,25370,1915,46.76194,6.39083,1001,122
Labergement-Sainte-Marie,25160,1257,46.77639,6.28444,860,123
Les Auxons,25870,2522,47.30111,5.97222,260,124
Levier,25270,2345,46.95361,6.11583,720,125
Maîche,25120,4226,47.25306,6.80222,790,126
Mamirolle,25620,1974,47.19722,6.16139,480,127
Mandeure,25350,4672,47.45194,6.80667,335,128
Marchaux-Chaudefontaine,25640,1429,47.32472,6.13444,297,129
Mathay,25700,2131,47.43722,6.78472,335,130
Métabief,25370,1395,46.77333,6.34889,950,131
Miserey-Salines,25480,2660,47.28305,5.97,300,132
Montbéliard,25200,25516,47.51194,6.8,330,133
Montenois,25260,1394,47.49417,6.66583,410,134
Montfaucon,25660,1608,47.23583,6.08056,490,135
Montferrand-le-Château,25320,2191,47.17805,5.92444,290,136
Montlebon,25500,2227,47.03917,6.61278,800,137
Morre,25660,1321,47.22528,6.06417,300,138
Morteau,25500,6905,47.0575,6.60222,760,139
Mouthe,25240,1025,46.71056,6.19194,938,140
Nancray,25360,1300,47.24556,6.18306,410,141
Nommay,25600,1601,47.53917,6.8475,330,142
Novillars,25220,1345,47.28861,6.13167,260,143
